GO:0000001	mitochondrion inheritance
GO:0048359	mucilage metabolic process involved seed coat development
GO:0048363	mucilage pectin metabolic process
GO:0048364	root development
GO:0048366	leaf development
GO:0048367	shoot system development
GO:0048368	lateral mesoderm development
GO:0048369	lateral mesoderm morphogenesis
GO:0048370	lateral mesoderm formation
GO:0048371	lateral mesodermal cell differentiation
GO:0048378	regulation of lateral mesodermal cell fate specification
GO:0048382	mesendoderm development
GO:0048384	retinoic acid receptor signaling pathway
GO:0048385	regulation of retinoic acid receptor signaling pathway
GO:0048386	positive regulation of retinoic acid receptor signaling pathway
GO:0048387	negative regulation of retinoic acid receptor signaling pathway
GO:0048388	endosomal lumen acidification
GO:0048389	intermediate mesoderm development
GO:0048390	intermediate mesoderm morphogenesis
GO:0048391	intermediate mesoderm formation
GO:0048392	intermediate mesodermal cell differentiation
GO:0048437	floral organ development
GO:0048438	floral whorl development
GO:0048439	flower morphogenesis
GO:0048440	carpel development
GO:0048441	petal development
GO:0048442	sepal development
GO:0048443	stamen development
GO:0048444	floral organ morphogenesis
GO:0048445	carpel morphogenesis
GO:0048446	petal morphogenesis
GO:0048447	sepal morphogenesis
GO:0048448	stamen morphogenesis
GO:0048449	floral organ formation
GO:0048451	petal formation
GO:0048453	sepal formation
GO:0048455	stamen formation
GO:0048457	floral whorl morphogenesis
GO:0048462	carpel formation
GO:0048464	flower calyx development
GO:0048465	corolla development
GO:0048466	androecium development
GO:0048467	gynoecium development
GO:0048468	cell development
GO:0048469	cell maturation
GO:0048477	oogenesis
GO:0048478	replication fork protection
GO:0048479	style development
GO:0048480	stigma development
GO:0048481	ovule development
GO:0048482	ovule morphogenesis
GO:0048483	autonomic nervous system development
GO:0048484	enteric nervous system development
GO:0048485	sympathetic nervous system development
GO:0048486	parasympathetic nervous system development
GO:0048488	synaptic vesicle endocytosis
GO:0048489	synaptic vesicle transport
GO:0048490	anterograde synaptic vesicle transport
GO:0048491	retrograde synaptic vesicle transport
GO:0048496	maintenance of organ identity
GO:0048497	maintenance of floral organ identity
GO:0048498	establishment of petal orientation
GO:0048499	synaptic vesicle membrane organization
GO:0048504	regulation of timing of organ formation
GO:0048505	regulation of timing of cell differentiation
GO:0048506	regulation of timing of meristematic phase transition
GO:0048507	meristem development
GO:0048508	embryonic meristem development
GO:0048509	regulation of meristem development
GO:0048510	regulation of timing of transition from vegetative to reproductive phase
GO:0048511	rhythmic process
GO:0048512	circadian behavior
GO:0048513	organ development
GO:0048514	blood vessel morphogenesis
GO:0048515	spermatid differentiation
GO:0048518	positive regulation of biological process
GO:0048519	negative regulation of biological process
GO:0048520	positive regulation of behavior
GO:0048521	negative regulation of behavior
GO:0048522	positive regulation of cellular process
GO:0048523	negative regulation of cellular process
GO:0048524	positive regulation of viral reproduction
GO:0048525	negative regulation of viral reproduction
GO:0048526	imaginal disc-derived wing expansion
GO:0048527	lateral root development
GO:0048528	post-embryonic root development
GO:0048530	fruit morphogenesis
GO:0048532	anatomical structure arrangement
GO:0048534	hematopoietic or lymphoid organ development
GO:0048535	lymph node development
GO:0048536	spleen development
GO:0048537	mucosal-associated lymphoid tissue development
GO:0048538	thymus development
GO:0048539	bone marrow development
GO:0048541	Peyer's patch development
GO:0048542	lymph gland development
GO:0048543	phytochrome chromophore biosynthetic process
GO:0048544	recognition of pollen
GO:0048545	response to steroid hormone stimulus
GO:0048546	digestive tract morphogenesis
GO:0048548	regulation of pinocytosis
GO:0048549	positive regulation of pinocytosis
GO:0048550	negative regulation of pinocytosis
GO:0048552	regulation of metalloenzyme activity
GO:0048553	negative regulation of metalloenzyme activity
GO:0048554	positive regulation of metalloenzyme activity
GO:0048557	embryonic digestive tract morphogenesis
GO:0048559	establishment of floral organ orientation
GO:0048560	establishment of anatomical structure orientation
GO:0048561	establishment of organ orientation
GO:0048562	embryonic organ morphogenesis
GO:0048563	post-embryonic organ morphogenesis
GO:0048564	photosystem I assembly
GO:0048565	digestive tract development
GO:0048566	embryonic digestive tract development
GO:0048567	ectodermal digestive tract morphogenesis
GO:0048568	embryonic organ development
GO:0048569	post-embryonic organ development
GO:0048570	notochord morphogenesis
GO:0048571	long-day photoperiodism
GO:0048572	short-day photoperiodism
GO:0048573	photoperiodism, flowering
GO:0048574	long-day photoperiodism, flowering
GO:0048575	short-day photoperiodism, flowering
GO:0048576	positive regulation of short-day photoperiodism, flowering
GO:0048577	negative regulation of short-day photoperiodism, flowering
GO:0048578	positive regulation of long-day photoperiodism, flowering
GO:0048579	negative regulation of long-day photoperiodism, flowering
GO:0048580	regulation of post-embryonic development
GO:0048581	negative regulation of post-embryonic development
GO:0048582	positive regulation of post-embryonic development
GO:0048583	regulation of response to stimulus
GO:0048584	positive regulation of response to stimulus
GO:0048585	negative regulation of response to stimulus
GO:0048586	regulation of long-day photoperiodism, flowering
GO:0048587	regulation of short-day photoperiodism, flowering
GO:0048588	developmental cell growth
GO:0048589	developmental growth
GO:0048592	eye morphogenesis
GO:0048593	camera-type eye morphogenesis
GO:0048596	embryonic camera-type eye morphogenesis
GO:0048597	post-embryonic camera-type eye morphogenesis
GO:0048598	embryonic morphogenesis
GO:0048599	oocyte development
GO:0048600	oocyte fate commitment
GO:0048601	oocyte morphogenesis
GO:0048608	reproductive structure development
GO:0048609	multicellular organismal reproductive process
GO:0048610	cellular process involved in reproduction
GO:0048611	embryonic ectodermal digestive tract development
GO:0048613	embryonic ectodermal digestive tract morphogenesis
GO:0048615	embryonic anterior midgut (ectodermal) morphogenesis
GO:0048617	embryonic foregut morphogenesis
GO:0048618	post-embryonic foregut morphogenesis
GO:0048619	embryonic hindgut morphogenesis
GO:0048620	post-embryonic hindgut morphogenesis
GO:0048621	post-embryonic digestive tract morphogenesis
GO:0048625	myoblast fate commitment
GO:0048627	myoblast development
GO:0048629	trichome patterning
GO:0048630	skeletal muscle tissue growth
GO:0048631	regulation of skeletal muscle tissue growth
GO:0048632	negative regulation of skeletal muscle tissue growth
GO:0048633	positive regulation of skeletal muscle tissue growth
GO:0048634	regulation of muscle organ development
GO:0048635	negative regulation of muscle organ development
GO:0048636	positive regulation of muscle organ development
GO:0048638	regulation of developmental growth
GO:0048639	positive regulation of developmental growth
GO:0048640	negative regulation of developmental growth
GO:0048641	regulation of skeletal muscle tissue development
GO:0048642	negative regulation of skeletal muscle tissue development
GO:0048643	positive regulation of skeletal muscle tissue development
GO:0048644	muscle organ morphogenesis
GO:0048645	organ formation
GO:0048646	anatomical structure formation involved in morphogenesis
GO:0048647	polyphenic determination
GO:0048648	caste determination
GO:0048650	caste determination, influence by environmental factors
GO:0048651	polyphenic determination, influence by environmental factors
GO:0048653	anther development
GO:0048654	anther morphogenesis
GO:0048655	anther wall tapetum morphogenesis
GO:0048656	anther wall tapetum formation
GO:0048657	anther wall tapetum cell differentiation
GO:0048658	anther wall tapetum development
GO:0048659	smooth muscle cell proliferation
GO:0048660	regulation of smooth muscle cell proliferation
GO:0048661	positive regulation of smooth muscle cell proliferation
GO:0048662	negative regulation of smooth muscle cell proliferation
GO:0048663	neuron fate commitment
GO:0048664	neuron fate determination
GO:0048665	neuron fate specification
GO:0048666	neuron development
GO:0048667	cell morphogenesis involved in neuron differentiation
GO:0048668	collateral sprouting
GO:0048669	collateral sprouting in absence of injury
GO:0048670	regulation of collateral sprouting
GO:0048671	negative regulation of collateral sprouting
GO:0048672	positive regulation of collateral sprouting
GO:0048674	collateral sprouting of injured axon
GO:0048675	axon extension
GO:0048677	axon extension involved in regeneration
GO:0048678	response to axon injury
GO:0048679	regulation of axon regeneration
GO:0048680	positive regulation of axon regeneration
GO:0048681	negative regulation of axon regeneration
GO:0048682	sprouting of injured axon
GO:0048683	regulation of collateral sprouting of intact axon in response to injury
GO:0048685	negative regulation of collateral sprouting of intact axon in response to injury
GO:0048686	regulation of sprouting of injured axon
GO:0048687	positive regulation of sprouting of injured axon
GO:0048688	negative regulation of sprouting of injured axon
GO:0048690	regulation of axon extension involved in regeneration
GO:0048691	positive regulation of axon extension involved in regeneration
GO:0048692	negative regulation of axon extension involved in regeneration
GO:0048696	regulation of collateral sprouting in absence of injury
GO:0048697	positive regulation of collateral sprouting in absence of injury
GO:0048698	negative regulation of collateral sprouting in absence of injury
GO:0048699	generation of neurons
GO:0048700	acquisition of desiccation tolerance in seed
GO:0048701	embryonic cranial skeleton morphogenesis
GO:0048702	embryonic neurocranium morphogenesis
GO:0048703	embryonic viscerocranium morphogenesis
GO:0048704	embryonic skeletal system morphogenesis
GO:0048705	skeletal system morphogenesis
GO:0048706	embryonic skeletal system development
GO:0048707	instar larval or pupal morphogenesis
GO:0048708	astrocyte differentiation
GO:0048709	oligodendrocyte differentiation
GO:0048710	regulation of astrocyte differentiation
GO:0048711	positive regulation of astrocyte differentiation
GO:0048712	negative regulation of astrocyte differentiation
GO:0048713	regulation of oligodendrocyte differentiation
GO:0048714	positive regulation of oligodendrocyte differentiation
GO:0048715	negative regulation of oligodendrocyte differentiation
GO:0048728	proboscis development
GO:0048729	tissue morphogenesis
GO:0048730	epidermis morphogenesis
GO:0048731	system development
GO:0048732	gland development
GO:0048733	sebaceous gland development
GO:0048734	proboscis morphogenesis
GO:0048735	haltere morphogenesis
GO:0048736	appendage development
GO:0048737	imaginal disc-derived appendage development
GO:0048738	cardiac muscle tissue development
GO:0048739	cardiac muscle fiber development
GO:0048741	skeletal muscle fiber development
GO:0048742	regulation of skeletal muscle fiber development
GO:0048743	positive regulation of skeletal muscle fiber development
GO:0048745	smooth muscle tissue development
GO:0048747	muscle fiber development
GO:0048749	compound eye development
GO:0048750	compound eye corneal lens morphogenesis
GO:0048752	semicircular canal morphogenesis
GO:0048753	pigment granule organization
GO:0048754	branching morphogenesis of an epithelial tube
GO:0048755	branching morphogenesis of a nerve
GO:0048757	pigment granule maturation
GO:0048759	xylem vessel member cell differentiation
GO:0048762	mesenchymal cell differentiation
GO:0048764	trichoblast maturation
GO:0048765	root hair cell differentiation
GO:0048766	root hair initiation
GO:0048767	root hair elongation
GO:0048768	root hair cell tip growth
GO:0048769	sarcomerogenesis
GO:0048771	tissue remodeling
GO:0048773	erythrophore differentiation
GO:0048785	hatching gland development
GO:0048789	cytoskeletal matrix organization at active zone
GO:0048790	maintenance of presynaptic active zone structure
GO:0048791	calcium ion-dependent exocytosis of neurotransmitter
GO:0048793	pronephros development
GO:0048794	swim bladder development
GO:0048795	swim bladder morphogenesis
GO:0048796	swim bladder maturation
GO:0048798	swim bladder inflation
GO:0048799	organ maturation
GO:0048800	antennal morphogenesis
GO:0048801	antennal joint morphogenesis
GO:0048802	notum morphogenesis
GO:0048803	imaginal disc-derived male genitalia morphogenesis
GO:0048804	imaginal disc-derived female genitalia morphogenesis
GO:0048805	imaginal disc-derived genitalia morphogenesis
GO:0048806	genitalia development
GO:0048807	female genitalia morphogenesis
GO:0048808	male genitalia morphogenesis
GO:0048812	neuron projection morphogenesis
GO:0048813	dendrite morphogenesis
GO:0048814	regulation of dendrite morphogenesis
GO:0048815	hermaphrodite genitalia morphogenesis
GO:0048817	negative regulation of hair follicle maturation
GO:0048818	positive regulation of hair follicle maturation
GO:0048819	regulation of hair follicle maturation
GO:0048820	hair follicle maturation
GO:0048821	erythrocyte development
GO:0048822	enucleate erythrocyte development
GO:0048823	nucleate erythrocyte development
GO:0048825	cotyledon development
GO:0048826	cotyledon morphogenesis
GO:0048827	phyllome development
GO:0048829	root cap development
GO:0048830	adventitious root development
GO:0048831	regulation of shoot system development
GO:0048832	specification of organ number
GO:0048833	specification of floral organ number
GO:0048834	specification of petal number
GO:0048837	sorus development
GO:0048838	release of seed from dormancy
GO:0048839	inner ear development
GO:0048840	otolith development
GO:0048841	regulation of axon extension involved in axon guidance
GO:0048842	positive regulation of axon extension involved in axon guidance
GO:0048843	negative regulation of axon extension involved in axon guidance
GO:0048844	artery morphogenesis
GO:0048845	venous blood vessel morphogenesis
GO:0048846	axon extension involved in axon guidance
GO:0048848	neurohypophysis morphogenesis
GO:0048850	hypophysis morphogenesis
GO:0048852	diencephalon morphogenesis
GO:0048853	forebrain morphogenesis
GO:0048854	brain morphogenesis
GO:0048855	adenohypophysis morphogenesis
GO:0048856	anatomical structure development
GO:0048857	neural nucleus development
GO:0048858	cell projection morphogenesis
GO:0048859	formation of anatomical boundary
GO:0048861	leukemia inhibitory factor signaling pathway
GO:0048863	stem cell differentiation
GO:0048864	stem cell development
GO:0048865	stem cell fate commitment
GO:0048866	stem cell fate specification
GO:0048867	stem cell fate determination
GO:0048868	pollen tube development
GO:0048869	cellular developmental process
GO:0048870	cell motility
GO:0048871	multicellular organismal homeostasis
GO:0048872	homeostasis of number of cells
GO:0048873	homeostasis of number of cells within a tissue
GO:0048874	homeostasis of number of cells in a free-living population
GO:0048875	chemical homeostasis within a tissue
GO:0048877	homeostasis of number of retina cells
GO:0048878	chemical homeostasis
GO:0048880	sensory system development
GO:0048881	mechanosensory lateral line system development
GO:0048882	lateral line development
GO:0048883	neuromast primordium migration
GO:0048884	neuromast development
GO:0048885	neuromast deposition
GO:0048886	neuromast hair cell differentiation
GO:0048888	neuromast mantle cell differentiation
GO:0048890	lateral line ganglion development
GO:0048892	lateral line nerve development
GO:0048893	afferent axon development in lateral line nerve
GO:0048894	efferent axon development in a lateral line nerve
GO:0048895	lateral line nerve glial cell differentiation
GO:0048897	myelination of lateral line nerve axons
GO:0048898	anterior lateral line system development
GO:0048899	anterior lateral line development
GO:0048901	anterior lateral line neuromast development
GO:0048903	anterior lateral line neuromast hair cell differentiation
GO:0048909	anterior lateral line nerve development
GO:0048913	anterior lateral line nerve glial cell differentiation
GO:0048914	myelination of anterior lateral line nerve axons
GO:0048915	posterior lateral line system development
GO:0048916	posterior lateral line development
GO:0048917	posterior lateral line ganglion development
GO:0048918	posterior lateral line nerve development
GO:0048919	posterior lateral line neuromast development
GO:0048920	posterior lateral line neuromast primordium migration
GO:0048922	posterior lateral line neuromast deposition
GO:0048923	posterior lateral line neuromast hair cell differentiation
GO:0048924	posterior lateral line neuromast mantle cell differentiation
GO:0048925	lateral line system development
GO:0048929	efferent axon development in posterior lateral line nerve
GO:0048931	posterior lateral line nerve glial cell differentiation
GO:0048932	myelination of posterior lateral line nerve axons
GO:0048933	afferent axon development in posterior lateral line nerve
GO:0048934	peripheral nervous system neuron differentiation
GO:0048935	peripheral nervous system neuron development
GO:0048936	peripheral nervous system neuron axonogenesis
GO:0048937	lateral line nerve glial cell development
GO:0048938	lateral line nerve glial cell morphogenesis involved in differentiation
GO:0048939	anterior lateral line nerve glial cell development
GO:0048940	anterior lateral line nerve glial cell morphogenesis involved in differentiation
GO:0048941	posterior lateral line nerve glial cell development
GO:0048942	posterior lateral line nerve glial cell morphogenesis involved in differentiation
GO:0050000	chromosome localization
GO:0050427	3'-phosphoadenosine 5'-phosphosulfate metabolic process
GO:0050428	3'-phosphoadenosine 5'-phosphosulfate biosynthetic process
GO:0050432	catecholamine secretion
GO:0050433	regulation of catecholamine secretion
GO:0050434	positive regulation of viral transcription
GO:0050435	beta-amyloid metabolic process
GO:0050482	arachidonic acid secretion
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process
GO:0050651	dermatan sulfate proteoglycan biosynthetic process
GO:0050652	dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
GO:0050653	chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
GO:0050654	chondroitin sulfate proteoglycan metabolic process
GO:0050655	dermatan sulfate proteoglycan metabolic process
GO:0050657	nucleic acid transport
GO:0050658	RNA transport
GO:0050663	cytokine secretion
GO:0050665	hydrogen peroxide biosynthetic process
GO:0050666	regulation of homocysteine metabolic process
GO:0050667	homocysteine metabolic process
GO:0050668	positive regulation of homocysteine metabolic process
GO:0050670	regulation of lymphocyte proliferation
GO:0050671	positive regulation of lymphocyte proliferation
GO:0050672	negative regulation of lymphocyte proliferation
GO:0050673	epithelial cell proliferation
GO:0050674	urothelial cell proliferation
GO:0050675	regulation of urothelial cell proliferation
GO:0050677	positive regulation of urothelial cell proliferation
GO:0050678	regulation of epithelial cell proliferation
GO:0050679	positive regulation of epithelial cell proliferation
GO:0050680	negative regulation of epithelial cell proliferation
GO:0050684	regulation of mRNA processing
GO:0050685	positive regulation of mRNA processing
GO:0050686	negative regulation of mRNA processing
GO:0050687	negative regulation of defense response to virus
GO:0050688	regulation of defense response to virus
GO:0050689	negative regulation of defense response to virus by host
GO:0050690	regulation of defense response to virus by virus
GO:0050691	regulation of defense response to virus by host
GO:0050701	interleukin-1 secretion
GO:0050702	interleukin-1 beta secretion
GO:0050703	interleukin-1 alpha secretion
GO:0050704	regulation of interleukin-1 secretion
GO:0050705	regulation of interleukin-1 alpha secretion
GO:0050706	regulation of interleukin-1 beta secretion
GO:0050707	regulation of cytokine secretion
GO:0050708	regulation of protein secretion
GO:0050709	negative regulation of protein secretion
GO:0050710	negative regulation of cytokine secretion
GO:0050711	negative regulation of interleukin-1 secretion
GO:0050713	negative regulation of interleukin-1 beta secretion
GO:0050714	positive regulation of protein secretion
GO:0050715	positive regulation of cytokine secretion
GO:0050716	positive regulation of interleukin-1 secretion
GO:0050717	positive regulation of interleukin-1 alpha secretion
GO:0050718	positive regulation of interleukin-1 beta secretion
GO:0050720	interleukin-1 beta biosynthetic process
GO:0050721	regulation of interleukin-1 alpha biosynthetic process
GO:0050722	regulation of interleukin-1 beta biosynthetic process
GO:0050725	positive regulation of interleukin-1 beta biosynthetic process
GO:0050726	positive regulation of interleukin-1 alpha biosynthetic process
GO:0050727	regulation of inflammatory response
GO:0050728	negative regulation of inflammatory response
GO:0050729	positive regulation of inflammatory response
GO:0050730	regulation of peptidyl-tyrosine phosphorylation
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation
GO:0050746	regulation of lipoprotein metabolic process
GO:0050747	positive regulation of lipoprotein metabolic process
GO:0050748	negative regulation of lipoprotein metabolic process
GO:0050752	regulation of fractalkine biosynthetic process
GO:0050754	positive regulation of fractalkine biosynthetic process
GO:0050755	chemokine metabolic process
GO:0050756	fractalkine metabolic process
GO:0050758	regulation of thymidylate synthase biosynthetic process
GO:0050760	negative regulation of thymidylate synthase biosynthetic process
GO:0050761	depsipeptide metabolic process
GO:0050763	depsipeptide biosynthetic process
GO:0050764	regulation of phagocytosis
GO:0050765	negative regulation of phagocytosis
GO:0050766	positive regulation of phagocytosis
GO:0050767	regulation of neurogenesis
GO:0050768	negative regulation of neurogenesis
GO:0050769	positive regulation of neurogenesis
GO:0050770	regulation of axonogenesis
GO:0050771	negative regulation of axonogenesis
GO:0050772	positive regulation of axonogenesis
GO:0050773	regulation of dendrite development
GO:0050774	negative regulation of dendrite morphogenesis
GO:0050775	positive regulation of dendrite morphogenesis
GO:0050776	regulation of immune response
GO:0050777	negative regulation of immune response
GO:0050778	positive regulation of immune response
GO:0050779	RNA destabilization
GO:0050783	cocaine metabolic process
GO:0050787	detoxification of mercury ion
GO:0050789	regulation of biological process
GO:0050790	regulation of catalytic activity
GO:0050792	regulation of viral reproduction
GO:0050793	regulation of developmental process
GO:0050794	regulation of cellular process
GO:0050795	regulation of behavior
GO:0050796	regulation of insulin secretion
GO:0050798	activated T cell proliferation
GO:0050801	ion homeostasis
GO:0050802	circadian sleep/wake cycle, sleep
GO:0050803	regulation of synapse structure and activity
GO:0050804	regulation of synaptic transmission
GO:0050805	negative regulation of synaptic transmission
GO:0050806	positive regulation of synaptic transmission
GO:0050807	regulation of synapse organization
GO:0050808	synapse organization
GO:0050810	regulation of steroid biosynthetic process
GO:0050812	regulation of acyl-CoA biosynthetic process
GO:0050813	epothilone metabolic process
GO:0050814	epothilone biosynthetic process
GO:0050817	coagulation
GO:0050818	regulation of coagulation
GO:0050819	negative regulation of coagulation
GO:0050820	positive regulation of coagulation
GO:0050821	protein stabilization
GO:0050822	peptide stabilization
GO:0050823	peptide antigen stabilization
GO:0050826	response to freezing
GO:0050828	regulation of liquid surface tension
GO:0050829	defense response to Gram-negative bacterium
GO:0050830	defense response to Gram-positive bacterium
GO:0050831	male-specific defense response to bacterium
GO:0050832	defense response to fungus
GO:0050843	S-adenosylmethionine catabolic process
GO:0050847	progesterone receptor signaling pathway
GO:0050848	regulation of calcium-mediated signaling
GO:0050849	negative regulation of calcium-mediated signaling
GO:0050850	positive regulation of calcium-mediated signaling
GO:0050851	antigen receptor-mediated signaling pathway
GO:0050852	T cell receptor signaling pathway
GO:0050853	B cell receptor signaling pathway
GO:0050854	regulation of antigen receptor-mediated signaling pathway
GO:0050855	regulation of B cell receptor signaling pathway
GO:0050856	regulation of T cell receptor signaling pathway
GO:0050857	positive regulation of antigen receptor-mediated signaling pathway
GO:0050858	negative regulation of antigen receptor-mediated signaling pathway
GO:0050859	negative regulation of B cell receptor signaling pathway
GO:0050860	negative regulation of T cell receptor signaling pathway
GO:0050861	positive regulation of B cell receptor signaling pathway
GO:0050862	positive regulation of T cell receptor signaling pathway
GO:0050863	regulation of T cell activation
GO:0050864	regulation of B cell activation
GO:0050865	regulation of cell activation
GO:0050866	negative regulation of cell activation
GO:0050867	positive regulation of cell activation
GO:0050868	negative regulation of T cell activation
GO:0050869	negative regulation of B cell activation
GO:0050870	positive regulation of T cell activation
GO:0050871	positive regulation of B cell activation
GO:0050872	white fat cell differentiation
GO:0050873	brown fat cell differentiation
GO:0050877	neurological system process
GO:0050878	regulation of body fluid levels
GO:0050879	multicellular organismal movement
GO:0050880	regulation of blood vessel size
GO:0050881	musculoskeletal movement
GO:0050882	voluntary musculoskeletal movement
GO:0050883	musculoskeletal movement, spinal reflex action
GO:0050884	neuromuscular process controlling posture
GO:0050885	neuromuscular process controlling balance
GO:0050886	endocrine process
GO:0050890	cognition
GO:0050891	multicellular organismal water homeostasis
GO:0050892	intestinal absorption
GO:0050893	sensory processing
GO:0050894	determination of affect
GO:0050896	response to stimulus
GO:0050898	nitrile metabolic process
GO:0050899	nitrile catabolic process
GO:0050900	leukocyte migration
GO:0050901	leukocyte tethering or rolling
GO:0050902	leukocyte adhesive activation
GO:0050904	diapedesis
GO:0050905	neuromuscular process
GO:0050906	detection of stimulus involved in sensory perception
GO:0050907	detection of chemical stimulus involved in sensory perception
GO:0050908	detection of light stimulus involved in visual perception
GO:0050909	sensory perception of taste
GO:0050910	detection of mechanical stimulus involved in sensory perception of sound
GO:0050911	detection of chemical stimulus involved in sensory perception of smell
GO:0050912	detection of chemical stimulus involved in sensory perception of taste
GO:0050913	sensory perception of bitter taste
GO:0050914	sensory perception of salty taste
GO:0050915	sensory perception of sour taste
GO:0050916	sensory perception of sweet taste
GO:0050917	sensory perception of umami taste
GO:0050918	positive chemotaxis
GO:0050919	negative chemotaxis
GO:0050920	regulation of chemotaxis
GO:0050921	positive regulation of chemotaxis
GO:0050922	negative regulation of chemotaxis
GO:0050923	regulation of negative chemotaxis
GO:0050924	positive regulation of negative chemotaxis
GO:0050925	negative regulation of negative chemotaxis
GO:0050926	regulation of positive chemotaxis
GO:0050927	positive regulation of positive chemotaxis
GO:0050928	negative regulation of positive chemotaxis
GO:0050929	induction of negative chemotaxis
GO:0050930	induction of positive chemotaxis
GO:0050931	pigment cell differentiation
GO:0050932	regulation of pigment cell differentiation
GO:0050934	late stripe melanocyte differentiation
GO:0050935	iridophore differentiation
GO:0050936	xanthophore differentiation
GO:0050941	negative regulation of pigment cell differentiation
GO:0050942	positive regulation of pigment cell differentiation
GO:0050951	sensory perception of temperature stimulus
GO:0050953	sensory perception of light stimulus
GO:0050954	sensory perception of mechanical stimulus
GO:0050955	thermoception
GO:0050957	equilibrioception
GO:0050958	magnetoreception
GO:0050960	detection of temperature stimulus involved in thermoception
GO:0050961	detection of temperature stimulus involved in sensory perception
GO:0050962	detection of light stimulus involved in sensory perception
GO:0050965	detection of temperature stimulus involved in sensory perception of pain
GO:0050966	detection of mechanical stimulus involved in sensory perception of pain
GO:0050968	detection of chemical stimulus involved in sensory perception of pain
GO:0050973	detection of mechanical stimulus involved in equilibrioception
GO:0050974	detection of mechanical stimulus involved in sensory perception
GO:0050975	sensory perception of touch
GO:0050976	detection of mechanical stimulus involved in sensory perception of touch
GO:0050980	detection of light stimulus involved in magnetoreception
GO:0050982	detection of mechanical stimulus
GO:0050983	deoxyhypusine biosynthetic process from spermidine
GO:0050993	dimethylallyl diphosphate metabolic process
GO:0050994	regulation of lipid catabolic process
GO:0050995	negative regulation of lipid catabolic process
GO:0050996	positive regulation of lipid catabolic process
GO:0050999	regulation of nitric-oxide synthase activity
GO:0051000	positive regulation of nitric-oxide synthase activity
GO:0051001	negative regulation of nitric-oxide synthase activity
GO:0051004	regulation of lipoprotein lipase activity
GO:0051005	negative regulation of lipoprotein lipase activity
GO:0051006	positive regulation of lipoprotein lipase activity
GO:0051012	microtubule sliding
GO:0051013	microtubule severing
GO:0051014	actin filament severing
GO:0051016	barbed-end actin filament capping
GO:0051017	actin filament bundle assembly
GO:0051023	regulation of immunoglobulin secretion
GO:0051024	positive regulation of immunoglobulin secretion
GO:0051025	negative regulation of immunoglobulin secretion
GO:0051026	chiasma assembly
GO:0051027	DNA transport
GO:0051028	mRNA transport
GO:0051029	rRNA transport
GO:0051030	snRNA transport
GO:0051031	tRNA transport
GO:0051036	regulation of endosome size
GO:0051037	regulation of transcription during meiosis
GO:0051038	negative regulation of transcription during meiosis
GO:0051039	positive regulation of transcription during meiosis
GO:0051040	regulation of calcium-independent cell-cell adhesion
GO:0051041	positive regulation of calcium-independent cell-cell adhesion
GO:0051042	negative regulation of calcium-independent cell-cell adhesion
GO:0051043	regulation of membrane protein ectodomain proteolysis
GO:0051044	positive regulation of membrane protein ectodomain proteolysis
GO:0051045	negative regulation of membrane protein ectodomain proteolysis
GO:0051046	regulation of secretion
GO:0051047	positive regulation of secretion
GO:0051048	negative regulation of secretion
GO:0051049	regulation of transport
GO:0051050	positive regulation of transport
GO:0051051	negative regulation of transport
GO:0051052	regulation of DNA metabolic process
GO:0051053	negative regulation of DNA metabolic process
GO:0051054	positive regulation of DNA metabolic process
GO:0051055	negative regulation of lipid biosynthetic process
GO:0051056	regulation of small GTPase mediated signal transduction
GO:0051057	positive regulation of small GTPase mediated signal transduction
GO:0051058	negative regulation of small GTPase mediated signal transduction
GO:0051066	dihydrobiopterin metabolic process
GO:0051067	dihydropteridine metabolic process
GO:0051068	dihydrolipoamide metabolic process
GO:0051069	galactomannan metabolic process
GO:0051071	4,6-pyruvylated galactose residue metabolic process
GO:0051072	4,6-pyruvylated galactose residue biosynthetic process
GO:0051078	meiotic nuclear envelope disassembly
GO:0051081	nuclear envelope disassembly
GO:0051083	'de novo' cotranslational protein folding
GO:0051084	'de novo' posttranslational protein folding
GO:0051085	chaperone mediated protein folding requiring cofactor
GO:0051086	chaperone mediated protein folding independent of cofactor
GO:0051088	PMA-inducible membrane protein ectodomain proteolysis
GO:0051089	constitutive protein ectodomain proteolysis
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0051093	negative regulation of developmental process
GO:0051094	positive regulation of developmental process
GO:0051095	regulation of helicase activity
GO:0051096	positive regulation of helicase activity
GO:0051097	negative regulation of helicase activity
GO:0051098	regulation of binding
GO:0051099	positive regulation of binding
GO:0051100	negative regulation of binding
GO:0051101	regulation of DNA binding
GO:0051102	DNA ligation involved in DNA recombination
GO:0051103	DNA ligation involved in DNA repair
GO:0051105	regulation of DNA ligation
GO:0051106	positive regulation of DNA ligation
GO:0051121	hepoxilin metabolic process
GO:0051122	hepoxilin biosynthetic process
GO:0051123	RNA polymerase II transcriptional preinitiation complex assembly
GO:0051124	synaptic growth at neuromuscular junction
