GO:0000015	phosphopyruvate hydratase complex
GO:0043509	activin A complex
GO:0043511	inhibin complex
GO:0043512	inhibin A complex
GO:0043514	interleukin-12 complex
GO:0043527	tRNA methyltransferase complex
GO:0043528	tRNA (m2G10) methyltransferase complex
GO:0043529	GET complex
GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex
GO:0043541	UDP-N-acetylglucosamine transferase complex
GO:0043564	Ku70:Ku80 complex
GO:0043590	bacterial nucleoid
GO:0043591	endospore external encapsulating structure
GO:0043593	endospore coat
GO:0043595	endospore cortex
GO:0043596	nuclear replication fork
GO:0043601	nuclear replisome
GO:0043614	multi-eIF complex
GO:0043625	delta DNA polymerase complex
GO:0043626	PCNA complex
GO:0043655	extracellular space of host
GO:0043656	intracellular region of host
GO:0043657	host cell
GO:0043667	pollen wall
GO:0043668	exine
GO:0043673	sexine
GO:0043674	columella
GO:0043679	axon terminus
GO:0043680	filiform apparatus
GO:0043684	type IV secretion system complex
GO:0043846	DNA polymerase III, clamp loader complex
GO:0043847	DNA polymerase III, clamp loader chi/psi subcomplex
GO:0044094	host cell nuclear part
GO:0044096	type IV pilus
GO:0044156	host cell junction
GO:0044161	host cell cytoplasmic vesicle
GO:0044163	host cytoskeleton
GO:0044164	host cell cytosol
GO:0044165	host cell endoplasmic reticulum
GO:0044167	host cell endoplasmic reticulum membrane
GO:0044174	host cell endosome
GO:0044175	host cell endosome membrane
GO:0044177	host cell Golgi apparatus
GO:0044184	host cell late endosome
GO:0044185	host cell late endosome membrane
GO:0044194	cytolytic granule
GO:0044195	nucleoplasmic reticulum
GO:0044199	host cell nuclear envelope
GO:0044200	host cell nuclear membrane
GO:0044214	fully spanning plasma membrane
GO:0044215	other organism
GO:0044216	other organism cell
GO:0044217	other organism part
GO:0044218	other organism cell membrane
GO:0044219	host cell plasmodesma
GO:0044220	host cell perinuclear region of cytoplasm
GO:0044221	host cell synapse
GO:0044224	juxtaparanode region of axon
GO:0044228	host cell surface
GO:0044231	host cell presynaptic membrane
GO:0044232	organelle membrane contact site
GO:0044233	ER-mitochondrion membrane contact site
GO:0044279	other organism membrane
GO:0044284	mitochondrial crista junction
GO:0044291	cell-cell contact zone
GO:0044292	dendrite terminus
GO:0044294	dendritic growth cone
GO:0044295	axonal growth cone
GO:0044297	cell body
GO:0044298	cell body membrane
GO:0044299	C-fiber
GO:0044300	cerebellar mossy fiber
GO:0044301	climbing fiber
GO:0044302	dentate gyrus mossy fiber
GO:0044304	main axon
GO:0044306	neuron projection terminus
GO:0044308	axonal spine
GO:0044309	neuron spine
GO:0044310	osmiophilic body
GO:0044316	cone cell pedicle
GO:0044317	rod spherule
GO:0044322	endoplasmic reticulum quality control compartment
GO:0044326	dendritic spine neck
GO:0044327	dendritic spine head
GO:0044352	pinosome
GO:0044354	macropinosome
GO:0044384	host cell outer membrane
GO:0044385	integral to membrane of host cell
GO:0044391	ribosomal subunit
GO:0044393	microspike
GO:0044420	extracellular matrix part
GO:0044421	extracellular region part
GO:0044422	organelle part
GO:0044423	virion part
GO:0044424	intracellular part
GO:0044425	membrane part
GO:0044426	cell wall part
GO:0044427	chromosomal part
GO:0044428	nuclear part
GO:0044429	mitochondrial part
GO:0044430	cytoskeletal part
GO:0044431	Golgi apparatus part
GO:0044432	endoplasmic reticulum part
GO:0044433	cytoplasmic vesicle part
GO:0044434	chloroplast part
GO:0044435	plastid part
GO:0044436	thylakoid part
GO:0044437	vacuolar part
GO:0044438	microbody part
GO:0044439	peroxisomal part
GO:0044440	endosomal part
GO:0044441	cilium part
GO:0044444	cytoplasmic part
GO:0044445	cytosolic part
GO:0044446	intracellular organelle part
GO:0044447	axoneme part
GO:0044448	cell cortex part
GO:0044449	contractile fiber part
GO:0044450	microtubule organizing center part
GO:0044451	nucleoplasm part
GO:0044452	nucleolar part
GO:0044453	nuclear membrane part
GO:0044454	nuclear chromosome part
GO:0044455	mitochondrial membrane part
GO:0044456	synapse part
GO:0044457	cell septum part
GO:0044459	plasma membrane part
GO:0044461	bacterial-type flagellum part
GO:0044462	external encapsulating structure part
GO:0044463	cell projection part
GO:0044464	cell part
GO:0044530	supraspliceosomal complex
GO:0044545	NSL complex
GO:0044569	[Ni-Fe] hydrogenase complex
GO:0044609	DBIRD complex
GO:0044611	nuclear pore inner ring
GO:0044612	nuclear pore linkers
GO:0044613	nuclear pore central transport channel
GO:0044614	nuclear pore cytoplasmic filaments
GO:0044615	nuclear pore nuclear basket
GO:0044665	MLL1/2 complex
GO:0044666	MLL3/4 complex
GO:0044695	Dsc E3 ubiquitin ligase complex
GO:0044697	HICS complex
GO:0044732	mitotic spindle pole body
GO:0044753	amphisome
GO:0044754	autolysosome
GO:0044776	DNA polymerase III, core complex
GO:0045009	chitosome
GO:0045025	mitochondrial degradosome
GO:0045095	keratin filament
GO:0045098	type III intermediate filament
GO:0045111	intermediate filament cytoskeleton
GO:0045120	pronucleus
GO:0045121	membrane raft
GO:0045160	myosin I complex
GO:0045169	fusome
GO:0045170	spectrosome
GO:0045171	intercellular bridge
GO:0045172	germline ring canal
GO:0045177	apical part of cell
GO:0045178	basal part of cell
GO:0045179	apical cortex
GO:0045180	basal cortex
GO:0045202	synapse
GO:0045203	integral to cell outer membrane
GO:0045211	postsynaptic membrane
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0045240	dihydrolipoyl dehydrogenase complex
GO:0045242	isocitrate dehydrogenase complex (NAD+)
GO:0045244	succinate-CoA ligase complex (GDP-forming)
GO:0045250	cytosolic pyruvate dehydrogenase complex
GO:0045251	electron transfer flavoprotein complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0045253	pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0045254	pyruvate dehydrogenase complex
GO:0045257	succinate dehydrogenase complex (ubiquinone)
GO:0045259	proton-transporting ATP synthase complex
GO:0045260	plasma membrane proton-transporting ATP synthase complex
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0045265	proton-transporting ATP synthase, stator stalk
GO:0045267	proton-transporting ATP synthase, catalytic core
GO:0045269	proton-transporting ATP synthase, central stalk
GO:0045271	respiratory chain complex I
GO:0045272	plasma membrane respiratory chain complex I
GO:0045273	respiratory chain complex II
GO:0045274	plasma membrane respiratory chain complex II
GO:0045275	respiratory chain complex III
GO:0045277	respiratory chain complex IV
GO:0045281	succinate dehydrogenase complex
GO:0045282	plasma membrane succinate dehydrogenase complex
GO:0045283	fumarate reductase complex
GO:0045293	mRNA editing complex
GO:0045298	tubulin complex
GO:0045323	interleukin-1 receptor complex
GO:0045334	clathrin-coated endocytic vesicle
GO:0045335	phagocytic vesicle
GO:0045495	pole plasm
GO:0046536	dosage compensation complex
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0046581	intercellular canaliculus
GO:0046658	anchored to plasma membrane
GO:0046691	intracellular canaliculus
GO:0046695	SLIK (SAGA-like) complex
GO:0046696	lipopolysaccharide receptor complex
GO:0046727	capsomere
GO:0046729	viral procapsid
GO:0046798	viral portal complex
GO:0046821	extrachromosomal DNA
GO:0046860	glycosome membrane
GO:0046930	pore complex
GO:0048046	apoplast
GO:0048179	activin receptor complex
GO:0048180	activin complex
GO:0048188	Set1C/COMPASS complex
GO:0048189	Lid2 complex
GO:0048196	plant extracellular matrix
GO:0048225	suberin network
GO:0048226	Casparian strip
GO:0048237	rough endoplasmic reticulum lumen
GO:0048269	methionine adenosyltransferase complex
GO:0048353	primary endosperm nucleus
GO:0048471	perinuclear region of cytoplasm
GO:0048475	coated membrane
GO:0048476	Holliday junction resolvase complex
GO:0048500	signal recognition particle
GO:0048555	generative cell nucleus
GO:0048770	pigment granule
GO:0048786	presynaptic active zone
GO:0048787	presynaptic active zone membrane
GO:0048788	presynaptic cytoskeletal matrix assembled at active zones
GO:0051233	spindle midzone
GO:0051285	cell cortex of cell tip
GO:0051286	cell tip
GO:0052718	tRNA-specific adenosine-34 deaminase complex
GO:0055028	cortical microtubule
GO:0055029	nuclear DNA-directed RNA polymerase complex
GO:0055035	plastid thylakoid membrane
GO:0055036	virion membrane
GO:0055037	recycling endosome
GO:0055038	recycling endosome membrane
GO:0055044	symplast
GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing
GO:0055087	Ski complex
GO:0055120	striated muscle dense body
GO:0060053	neurofilament cytoskeleton
GO:0060076	excitatory synapse
GO:0060077	inhibitory synapse
GO:0060091	kinocilium
GO:0060102	collagen and cuticulin-based cuticle extracellular matrix
GO:0060103	collagen and cuticulin-based cuticle extracellular matrix part
GO:0060106	cortical layer of collagen and cuticulin-based cuticle extracellular matrix
GO:0060107	annuli extracellular matrix
GO:0060108	annular furrow extracellular matrix
GO:0060111	alae of collagen and cuticulin-based cuticle extracellular matrix
GO:0060170	cilium membrane
GO:0060171	stereocilium membrane
GO:0060187	cell pole
GO:0060198	clathrin-sculpted vesicle
GO:0060199	clathrin-sculpted glutamate transport vesicle
GO:0060200	clathrin-sculpted acetylcholine transport vesicle
GO:0060201	clathrin-sculpted acetylcholine transport vesicle membrane
GO:0060203	clathrin-sculpted glutamate transport vesicle membrane
GO:0060205	cytoplasmic membrane-bounded vesicle lumen
GO:0060293	germ plasm
GO:0060342	photoreceptor inner segment membrane
GO:0060388	vitelline envelope
GO:0060417	yolk
GO:0060418	yolk plasma
GO:0060473	cortical granule
GO:0060987	lipid tube
GO:0061174	type I terminal bouton
GO:0061176	type Ib terminal bouton
GO:0061177	type Is terminal bouton
GO:0061200	clathrin-sculpted gamma-aminobutyric acid transport vesicle
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane
GO:0061474	phagolysosome membrane
GO:0061495	gamma-tubulin small complex, mitotic spindle pole body
GO:0065010	extracellular membrane-bounded organelle
GO:0070013	intracellular organelle lumen
GO:0070022	transforming growth factor beta receptor homodimeric complex
GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex
GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex
GO:0070056	prospore membrane leading edge
GO:0070062	extracellular vesicular exosome
GO:0070069	cytochrome complex
GO:0070081	clathrin-sculpted monoamine transport vesicle
GO:0070083	clathrin-sculpted monoamine transport vesicle membrane
GO:0070090	metaphase plate
GO:0070110	ciliary neurotrophic factor receptor complex
GO:0070160	occluding junction
GO:0070161	anchoring junction
GO:0070176	DRM complex
GO:0070187	telosome
GO:0070188	Stn1-Ten1 complex
GO:0070195	growth hormone receptor complex
GO:0070209	ASTRA complex
GO:0070210	Rpd3L-Expanded complex
GO:0070211	Snt2C complex
GO:0070250	mating projection membrane
GO:0070258	inner membrane complex
GO:0070263	external side of fungal-type cell wall
GO:0070274	RES complex
GO:0070288	ferritin complex
GO:0070319	Golgi to plasma membrane transport vesicle
GO:0070369	beta-catenin-TCF7L2 complex
GO:0070382	exocytic vesicle
GO:0070390	transcription export complex 2
GO:0070419	nonhomologous end joining complex
GO:0070435	Shc-EGFR complex
GO:0070436	Grb2-EGFR complex
GO:0070438	mTOR-FKBP12-rapamycin complex
GO:0070442	alphaIIb-beta3 integrin complex
GO:0070449	elongin complex
GO:0070451	cell hair
GO:0070461	SAGA-type complex
GO:0070469	respiratory chain
GO:0070470	plasma membrane respiratory chain
GO:0070505	pollen coat
GO:0070514	SRF-myogenin-E12 complex
GO:0070522	ERCC4-ERCC1 complex
GO:0070531	BRCA1-A complex
GO:0070545	PeBoW complex
GO:0070552	BRISC complex
GO:0070554	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
GO:0070557	PCNA-p21 complex
GO:0070578	RISC-loading complex
GO:0070603	SWI/SNF superfamily-type complex
GO:0070604	PBAF complex
GO:0070618	Grb2-Sos complex
GO:0070648	formin-nucleated actin cable
GO:0070652	HAUS complex
GO:0070685	macropinocytic cup
GO:0070688	MLL5-L complex
GO:0070692	trimeric positive transcription elongation factor complex b
GO:0070693	P-TEFb-cap methyltransferase complex
GO:0070695	FHF complex
GO:0070701	mucus layer
GO:0070702	inner mucus layer
GO:0070703	outer mucus layer
GO:0070722	Tle3-Aes complex
GO:0070724	BMP receptor complex
GO:0070725	Yb body
GO:0070732	spindle envelope
GO:0070743	interleukin-23 complex
GO:0070761	pre-snoRNP complex
GO:0070762	nuclear pore transmembrane ring
GO:0070765	gamma-secretase complex
GO:0070772	PAS complex
GO:0070775	H3 histone acetyltransferase complex
GO:0070776	MOZ/MORF histone acetyltransferase complex
GO:0070820	tertiary granule
GO:0070821	tertiary granule membrane
GO:0070822	Sin3-type complex
GO:0070823	HDA1 complex
GO:0070824	SHREC complex
GO:0070826	paraferritin complex
GO:0070847	core mediator complex
GO:0070850	TACC/TOG complex
GO:0070852	cell body fiber
GO:0070860	RNA polymerase I core factor complex
GO:0070864	sperm individualization complex
GO:0070865	investment cone
GO:0070876	SOSS complex
GO:0070877	microprocessor complex
GO:0070912	Ddb1-Ckn1 complex
GO:0070913	Ddb1-Wdr21 complex
GO:0070916	inositol phosphoceramide synthase complex
GO:0070937	CRD-mediated mRNA stability complex
GO:0070938	contractile ring
GO:0070939	Dsl1p complex
GO:0070969	ULK1-ATG13-FIP200 complex
GO:0070971	endoplasmic reticulum exit site
GO:0070985	TFIIK complex
GO:0070992	translation initiation complex
GO:0070993	translation preinitiation complex
GO:0071001	U4/U6 snRNP
GO:0071004	U2-type prespliceosome
GO:0071006	U2-type catalytic step 1 spliceosome
GO:0071007	U2-type catalytic step 2 spliceosome
GO:0071008	U2-type post-mRNA release spliceosomal complex
GO:0071010	prespliceosome
GO:0071011	precatalytic spliceosome
GO:0071012	catalytic step 1 spliceosome
GO:0071013	catalytic step 2 spliceosome
GO:0071014	post-mRNA release spliceosomal complex
GO:0071020	post-spliceosomal complex
GO:0071021	U2-type post-spliceosomal complex
GO:0071062	alphav-beta3 integrin-vitronectin complex
GO:0071065	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex
GO:0071133	alpha9-beta1 integrin-ADAM8 complex
GO:0071141	SMAD protein complex
GO:0071144	SMAD2-SMAD3 protein complex
GO:0071146	SMAD3-SMAD4 protein complex
GO:0071159	NF-kappaB complex
GO:0071203	WASH complex
GO:0071204	histone pre-mRNA 3'end processing complex
GO:0071212	subsynaptic reticulum
GO:0071254	cytoplasmic U snRNP body
GO:0071256	translocon complex
GO:0071261	Ssh1 translocon complex
GO:0071339	MLL1 complex
GO:0071341	medial cortical node
GO:0071437	invadopodium
GO:0071438	invadopodium membrane
GO:0071439	clathrin complex
GO:0071458	integral to cytosolic side of endoplasmic reticulum membrane
GO:0071513	phosphopantothenoylcysteine decarboxylase complex
GO:0071521	Cdc42 GTPase complex
GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m
GO:0071546	pi-body
GO:0071547	piP-body
GO:0071556	integral to lumenal side of endoplasmic reticulum membrane
GO:0071561	nucleus-vacuole junction
GO:0071563	Myo2p-Vac17p-Vac8p transport complex
GO:0071564	npBAF complex
GO:0071565	nBAF complex
GO:0071575	integral to external side of plasma membrane
GO:0071595	Nem1-Spo7 phosphatase complex
GO:0071597	cellular birth scar
GO:0071598	neuronal ribonucleoprotein granule
GO:0071601	sphere organelle
GO:0071627	integral to fungal-type vacuolar membrane
GO:0071628	intrinsic to fungal-type vacuolar membrane
GO:0071664	catenin-TCF7L2 complex
GO:0071665	gamma-catenin-TCF7L2 complex
GO:0071666	Slit-Robo signaling complex
GO:0071682	endocytic vesicle lumen
GO:0071683	sensory dendrite
GO:0071686	horsetail nucleus
GO:0071687	horsetail nucleus leading edge
GO:0071745	IgA immunoglobulin complex
GO:0071746	IgA immunoglobulin complex, circulating
GO:0071748	monomeric IgA immunoglobulin complex
GO:0071749	polymeric IgA immunoglobulin complex
GO:0071750	dimeric IgA immunoglobulin complex
GO:0071751	secretory IgA immunoglobulin complex
GO:0071752	secretory dimeric IgA immunoglobulin complex
GO:0071753	IgM immunoglobulin complex
GO:0071754	IgM immunoglobulin complex, circulating
GO:0071756	pentameric IgM immunoglobulin complex
GO:0071757	hexameric IgM immunoglobulin complex
GO:0071782	endoplasmic reticulum tubular network
GO:0071797	LUBAC complex
GO:0071817	MMXD complex
GO:0071818	BAT3 complex
GO:0071819	DUBm complex
GO:0071821	FANCM-MHF complex
GO:0071914	prominosome
GO:0071920	cleavage body
GO:0071942	XPC complex
GO:0071944	cell periphery
GO:0071953	elastic fiber
GO:0071957	old mitotic spindle pole body
GO:0071958	new mitotic spindle pole body
GO:0071986	Ragulator complex
GO:0072324	ascus epiplasm
GO:0072357	PTW/PP1 phosphatase complex
GO:0072372	primary cilium
GO:0072379	ER membrane insertion complex
GO:0072380	TRC complex
GO:0072487	MSL complex
GO:0072493	host cell endosome lumen
GO:0072517	host cell viral assembly compartment
GO:0072534	perineuronal net
GO:0072536	interleukin-23 receptor complex
GO:0072546	ER membrane protein complex
GO:0072556	other organism presynaptic membrane
GO:0072557	IPAF inflammasome complex
GO:0072558	NLRP1 inflammasome complex
GO:0072559	NLRP3 inflammasome complex
GO:0072562	blood microparticle
GO:0072563	endothelial microparticle
GO:0072588	box H/ACA RNP complex
GO:0072669	tRNA-splicing ligase complex
GO:0072686	mitotic spindle
GO:0072687	meiotic spindle
GO:0075341	host cell PML body
GO:0080008	Cul4-RING ubiquitin ligase complex
GO:0080085	signal recognition particle, chloroplast targeting
GO:0090404	pollen tube tip
GO:0090406	pollen tube
GO:0090443	FAR/SIN/STRIPAK complex
GO:0090498	extrinsic to Golgi membrane
GO:0090533	cation-transporting ATPase complex
GO:0090534	calcium ion-transporting ATPase complex
GO:0090537	CERF complex
GO:0090543	Flemming body
GO:0090544	BAF-type complex
GO:0090545	CHD-type complex
GO:0097002	mitochondrial inner boundary membrane
GO:0097013	phagocytic vesicle lumen
GO:0097014	cilium cytoplasm
GO:0097025	MPP7-DLG1-LIN7 complex
GO:0097038	perinuclear endoplasmic reticulum
GO:0097042	extrinsic to fungal-type vacuolar membrane
GO:0097047	DNA replication termination region
GO:0097057	TRAF2-GSTP1 complex
GO:0097058	CRLF-CLCF1 complex
GO:0097059	CNTFR-CLCF1 complex
GO:0097060	synaptic membrane
GO:0097078	FAl1-SGD1 complex
GO:0097136	Bcl-2 family protein complex
GO:0097140	BIM-BCL-xl complex
GO:0097141	BIM-BCL-2 complex
GO:0097144	BAX complex
GO:0097149	centralspindlin complex
GO:0097165	nuclear stress granule
GO:0097169	AIM2 inflammasome complex
GO:0097179	protease inhibitor complex
GO:0097180	serine protease inhibitor complex
GO:0097181	protein C inhibitor-coagulation factor V complex
GO:0097182	protein C inhibitor-coagulation factor Xa complex
GO:0097183	protein C inhibitor-coagulation factor XI complex
GO:0097196	Shu complex
GO:0097197	tetraspanin-enriched microdomain
GO:0097203	phagocytic cup lip
GO:0097204	phagocytic cup base
GO:0097208	alveolar lamellar body
GO:0097209	epidermal lamellar body
GO:0097221	MADS box-forkhead transcription factor complex
GO:0097223	sperm part
GO:0097224	sperm connecting piece
GO:0097225	sperm midpiece
GO:0097226	sperm mitochondrial sheath
GO:0097227	sperm annulus
GO:0097228	sperm principal piece
GO:0097229	sperm end piece
GO:0097232	lamellar body membrane
GO:0097233	alveolar lamellar body membrane
GO:0097249	mitochondrial respiratory chain supercomplex
GO:0097255	R2TP complex
GO:0097268	cytoophidium
GO:0097342	ripoptosome
GO:0097344	Rix1 complex
GO:0097346	INO80-type complex
GO:0097347	TAM protein secretion complex
GO:0097356	perinucleolar compartment
GO:0097361	CIA complex
GO:0097362	MCM8-MCM9 complex
GO:0097373	MCM core complex
GO:0097381	photoreceptor disc membrane
GO:0097386	glial cell projection
GO:0097413	Lewy body
GO:0097418	neurofibrillary tangle
GO:0097425	smooth endoplasmic reticulum part
GO:0097427	microtubule bundle
GO:0097431	mitotic spindle pole
GO:0097433	dense body
GO:0097440	apical dendrite
GO:0097443	sorting endosome
GO:0097445	presynaptic active zone dense projection
GO:0097449	astrocyte projection
GO:0097450	astrocyte end-foot
GO:0097451	glial limiting end-foot
GO:0097452	GAIT complex
GO:0097453	mesaxon
GO:0097454	Schwann cell microvillus
GO:0097456	terminal loop
GO:0097458	neuron part
GO:0097470	ribbon synapse
GO:0098015	virus tail
GO:0098017	viral capsid, major subunit
GO:0098021	viral capsid, decoration
GO:0098022	viral capsid, fiber
GO:0098024	virus tail, fiber
GO:0098025	virus tail, baseplate
GO:0098029	icosahedral viral capsid, spike
GO:1901588	dendritic microtubule
GO:1990005	granular vesicle
GO:1990015	ensheathing process
GO:1990023	mitotic spindle midzone
GO:1990032	parallel fiber
GO:1990037	Lewy body core
GO:1990047	spindle matrix
GO:1990060	maltose transport complex
GO:1990063	Bam protein complex
GO:1990070	TRAPPI protein complex
GO:1990071	TRAPPII protein complex
GO:1990072	TRAPPIII protein complex
GO:1990075	periciliary membrane compartment
GO:1990111	spermatoproteasome complex
GO:1990112	RQC complex
GO:1990124	messenger ribonucleoprotein complex
